id,title,url,images,interaction_statistics,created_at
adB6MMZ,Guess which is which...,http://9gag.com/gag/adB6MMZ,"{'image700': {'width': 505, 'height': 758, 'url': 'https://img-9gag-fun.9cache.com/photo/adB6MMZ_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/adB6MMZ_700bwp.webp'}, 'image460': {'width': 460, 'height': 690, 'url': 'https://img-9gag-fun.9cache.com/photo/adB6MMZ_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/adB6MMZ_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/adB6MMZ_fbthumbnail.jpg'}}","{'likes': 144, 'dislikes': 50, 'comments': 27}",2024-05-22 19:52:04
a0ePD8X,Jordan got Bennie's ball. and now we wait.,http://9gag.com/gag/a0ePD8X,"{'image700': {'width': 526, 'height': 526, 'url': 'https://img-9gag-fun.9cache.com/photo/a0ePD8X_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a0ePD8X_700bwp.webp'}, 'image460': {'width': 460, 'height': 460, 'url': 'https://img-9gag-fun.9cache.com/photo/a0ePD8X_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a0ePD8X_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/a0ePD8X_fbthumbnail.jpg'}}","{'likes': 16, 'dislikes': 17, 'comments': 6}",2024-05-22 02:53:46
a34dpgr,Pervert! they're dancing!,http://9gag.com/gag/a34dpgr,"{'image700': {'width': 645, 'height': 475, 'url': 'https://img-9gag-fun.9cache.com/photo/a34dpgr_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a34dpgr_700bwp.webp'}, 'image460': {'width': 460, 'height': 338, 'url': 'https://img-9gag-fun.9cache.com/photo/a34dpgr_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a34dpgr_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/a34dpgr_fbthumbnail.jpg'}}","{'likes': 0, 'dislikes': 0, 'comments': 0}",2024-05-21 16:52:15
a5QNy9g,12 of the stupidest people on earth,http://9gag.com/gag/a5QNy9g,"{'image700': {'width': 400, 'height': 500, 'url': 'https://img-9gag-fun.9cache.com/photo/a5QNy9g_460s.jpg'}, 'image460': {'width': 400, 'height': 500, 'url': 'https://img-9gag-fun.9cache.com/photo/a5QNy9g_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/a5QNy9g_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/a5QNy9g_fbthumbnail.jpg'}, 'image460sv': {'width': 400, 'height': 500, 'url': 'https://img-9gag-fun.9cache.com/photo/a5QNy9g_460sv.mp4', 'hasAudio': 0, 'duration': 7, 'vp8Url': 'https://img-9gag-fun.9cache.com/photo/a5QNy9g_460svwm.webm', 'h265Url': 'https://img-9gag-fun.9cache.com/photo/a5QNy9g_460svh265.mp4', 'vp9Url': 'https://img-9gag-fun.9cache.com/photo/a5QNy9g_460svvp9.webm'}}","{'likes': 4105, 'dislikes': 275, 'comments': 388}",2024-05-21 16:28:41
aNDoq0K,Luckily they don't come in a 12...,http://9gag.com/gag/aNDoq0K,"{'image700': {'width': 606, 'height': 600, 'url': 'https://img-9gag-fun.9cache.com/photo/aNDoq0K_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aNDoq0K_700bwp.webp'}, 'image460': {'width': 460, 'height': 455, 'url': 'https://img-9gag-fun.9cache.com/photo/aNDoq0K_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aNDoq0K_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aNDoq0K_fbthumbnail.jpg'}}","{'likes': 205, 'dislikes': 41, 'comments': 15}",2024-05-21 01:35:45
aKGgpzN,Would I? Would I?,http://9gag.com/gag/aKGgpzN,"{'image700': {'width': 700, 'height': 933, 'url': 'https://img-9gag-fun.9cache.com/photo/aKGgpzN_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aKGgpzN_700bwp.webp'}, 'image460': {'width': 460, 'height': 613, 'url': 'https://img-9gag-fun.9cache.com/photo/aKGgpzN_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aKGgpzN_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aKGgpzN_fbthumbnail.jpg'}}","{'likes': 252, 'dislikes': 52, 'comments': 20}",2024-05-20 16:39:05
aPA4Bvq,Viva la 9Gag - 9GAG,https://9gag.com/gag/aPA4Bvq,"{'image700': {'width': 600, 'height': 555, 'url': 'https://img-9gag-fun.9cache.com/photo/aPA4Bvq_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aPA4Bvq_700bwp.webp'}, 'image460': {'width': 460, 'height': 425, 'url': 'https://img-9gag-fun.9cache.com/photo/aPA4Bvq_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aPA4Bvq_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aPA4Bvq_fbthumbnail.jpg'}}","{'likes': 0, 'dislikes': 1, 'comments': 0}",2024-05-30 03:00:41
aqyNLdp,"Found this at the beach, I won't be going back... - 9GAG",https://9gag.com/gag/aqyNLdp,"{'image700': {'width': 600, 'height': 782, 'url': 'https://img-9gag-fun.9cache.com/photo/aqyNLdp_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aqyNLdp_700bwp.webp'}, 'image460': {'width': 460, 'height': 599, 'url': 'https://img-9gag-fun.9cache.com/photo/aqyNLdp_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aqyNLdp_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aqyNLdp_fbthumbnail.jpg'}}","{'likes': 168, 'dislikes': 66, 'comments': 25}",2024-05-29 15:43:35
aW4Wm0Z,What's your favorite Gandhi quote? - 9GAG,https://9gag.com/gag/aW4Wm0Z,"{'image700': {'width': 474, 'height': 248, 'url': 'https://img-9gag-fun.9cache.com/photo/aW4Wm0Z_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aW4Wm0Z_700bwp.webp'}, 'image460': {'width': 460, 'height': 240, 'url': 'https://img-9gag-fun.9cache.com/photo/aW4Wm0Z_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/aW4Wm0Z_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/aW4Wm0Z_fbthumbnail.jpg'}}","{'likes': 14, 'dislikes': 10, 'comments': 5}",2024-05-30 03:04:34
awyKQ4B,What? - 9GAG,https://9gag.com/gag/awyKQ4B,"{'image700': {'width': 526, 'height': 516, 'url': 'https://img-9gag-fun.9cache.com/photo/awyKQ4B_700b.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/awyKQ4B_700bwp.webp'}, 'image460': {'width': 460, 'height': 451, 'url': 'https://img-9gag-fun.9cache.com/photo/awyKQ4B_460s.jpg', 'webpUrl': 'https://img-9gag-fun.9cache.com/photo/awyKQ4B_460swp.webp'}, 'imageFbThumbnail': {'width': 220, 'height': 220, 'url': 'https://img-9gag-fun.9cache.com/photo/awyKQ4B_fbthumbnail.jpg'}}","{'likes': 48, 'dislikes': 49, 'comments': 7}",2024-05-30 18:10:45
